	Person	Number_of_Movies	Role	Franchise_Box_Office	Career_Box_Office	Career/Franchise
0	Stan Lee	22.0	Himself	21424744275	30602726452	70.0%
1	Samuel L. Jackson	12.0	Nick Fury	12755818534	27774380735	45.9%
2	Robert Downey, Jr.	11.0	Tony Stark/Iron Man	12850724774	15725830539	81.7%
3	Chris Evans	9.0	Steve Rogers / Captain America	11513253757	13753699045	83.7%
4	Chris Hemsworth	8.0	Thor	10458848692	12447713879	84.0%
5	Scarlett Johansson	8.0	Natasha Romanoff/Black Widow	10620717694	15384676705	69.0%
6	Jon Favreau	7.0	Happy Hogan	9136879021	13970645911	65.4%
7	Paul Bettany	7.0	Vision	10741956946	13398876626	80.2%
8	Gwyneth Paltrow	7.0	Pepper Potts	9658183219	11874162500	81.3%
9	Don Cheadle	6.0	"Lt. Col. James ""Rhodey"" Rhodes"	9226856735	12414975822	74.3%
10	Mark Ruffalo	6.0	Bruce Banner/Hulk	9036216111	11399776910	79.3%
11	Benedict Cumberbatch	6.0	Stephen Strange	9232190692	15089746859	61.2%
12	Tom Holland	6.0	Peter Parker/Spider-Man	9915418153	11187907065	88.6%
13	Sebastian Stan	6.0	Bucky Barnes/Winter Soldier	7079962760	7991101927	88.6%
14	Chris Pratt	6.0	Peter Quill/Star-Lord	7243989948	13475770771	53.8%
15	Paul Rudd	6.0	Scott Lang / Ant-Man	7599392729	10762289101	70.6%
16	Dave Bautista	6.0	Drax the Destroyer	7243989948	9056321598	80.0%
17	Tom Hiddleston	6.0	Loki	8302603632	9396370227	88.4%
18	Benedict Wong	6.0	Wong	8813932548	10878763167	81.0%
19	Anthony Mackie	6.0	Sam Wilson/Falcon	8104709963	10154153907	79.8%
20	Karen Gillan	6.0	Nebula	7243989948	9525094418	76.1%
21	Bradley Cooper	6.0	Rocket	7243989948	12178491163	59.5%
22	Clark Gregg	5.0	Agent Coulson	4300330859	5113709598	84.1%
23	Jeremy Renner	5.0	Clint Barton/Hawkeye	8905408285	11955240242	74.5%
